rpm,T/Nm,P/W
0.0,43.0,0.0
18.01801801801802,43.0,81.13422468730397
36.03603603603604,43.0,162.26844937460794
54.054054054054056,43.0,243.4026740619119
72.07207207207207,43.0,324.5368987492159
90.0900900900901,43.0,405.67112343651985
108.10810810810811,43.0,486.8053481238238
126.12612612612614,43.0,567.9395728111278
144.14414414414415,43.0,649.0737974984318
162.1621621621622,43.0,730.2080221857358
180.1801801801802,43.0,811.3422468730397
198.19819819819818,43.0,892.4764715603436
216.21621621621622,43.0,973.6106962476476
234.23423423423426,43.0,1054.7449209349518
252.25225225225228,43.0,1135.8791456222557
270.27027027027026,43.0,1217.0133703095596
288.2882882882883,43.0,1298.1475949968635
306.30630630630634,43.0,1379.2818196841677
324.3243243243244,43.0,1460.4160443714716
342.34234234234236,43.0,1541.5502690587755
360.3603603603604,43.0,1622.6844937460794
378.37837837837844,43.0,1703.8187184333835
396.39639639639637,43.0,1784.9529431206872
414.4144144144144,43.0,1866.0871678079914
432.43243243243245,43.0,1947.2213924952953
450.4504504504505,43.0,2028.3556171825994
468.46846846846853,43.0,2109.4898418699036
486.48648648648646,43.0,2190.6240665572072
504.50450450450455,43.0,2271.7582912445114
522.5225225225225,43.0,2352.892515931815
540.5405405405405,43.0,2434.026740619119
558.5585585585586,43.0,2515.160965306423
576.5765765765766,43.0,2596.295189993727
594.5945945945947,43.0,2677.429414681031
612.6126126126127,43.0,2758.5636393683353
630.6306306306307,43.0,2839.697864055639
648.6486486486488,43.0,2920.832088742943
666.6666666666666,43.0,3001.966313430247
684.6846846846847,43.0,3083.100538117551
702.7027027027028,43.0,3164.234762804855
720.7207207207208,43.0,3245.368987492159
738.7387387387387,43.0,3326.5032121794625
756.7567567567569,43.0,3407.637436866767
774.7747747747749,43.0,3488.7716615540708
792.7927927927927,43.0,3569.9058862413744
810.8108108108108,43.0,3651.0401109286786
828.8288288288288,43.0,3732.1743356159827
846.846846846847,43.0,3813.308560303287
864.8648648648649,43.0,3894.4427849905906
882.8828828828829,43.0,3975.5770096778942
900.900900900901,43.0,4056.711234365199
918.9189189189191,43.0,4137.8454590525025
936.9369369369371,43.0,4218.979683739807
954.954954954955,43.0,4300.113908427111
972.9729729729729,43.0,4381.2481331144145
990.990990990991,43.0,4462.382357801719
1009.0090090090091,43.0,4543.516582489023
1027.027027027027,43.0,4624.650807176326
1045.045045045045,43.0,4705.78503186363
1063.063063063063,43.0,4786.919256550934
1081.081081081081,43.0,4868.053481238238
1099.0990990990992,43.0,4949.187705925542
1117.1171171171172,43.0,5030.321930612846
1135.1351351351352,43.0,5111.45615530015
1153.1531531531532,43.0,5192.590379987454
1171.1711711711712,43.0,5273.724604674758
1189.1891891891894,43.0,5354.858829362062
1207.2072072072071,43.0,5435.993054049366
1225.2252252252254,43.0,5517.127278736671
1243.2432432432433,43.0,5598.261503423974
1261.2612612612613,43.0,5679.395728111278
1279.2792792792793,43.0,5760.529952798582
1297.2972972972975,43.0,5841.664177485886
1315.3153153153155,43.0,5922.79840217319
1333.3333333333333,43.0,6003.932626860494
1351.3513513513515,43.0,6085.066851547797
1369.3693693693695,43.0,6166.201076235102
1387.3873873873872,43.0,6247.335300922406
1405.4054054054056,43.0,6328.46952560971
1423.4234234234234,43.0,6409.603750297014
1441.4414414414416,43.0,6490.737974984318
1459.4594594594596,43.0,6571.872199671621
1477.4774774774774,43.0,6653.006424358925
1495.4954954954958,43.0,6734.1406490462305
1513.5135135135138,43.0,6815.274873733534
1531.5315315315315,43.0,6896.409098420838
1549.5495495495497,43.0,6977.5433231081415
1567.5675675675675,43.0,7058.677547795445
1585.5855855855855,43.0,7139.811772482749
1603.603603603604,43.0,7220.9459971700535
1621.6216216216217,43.0,7302.080221857357
1639.6396396396399,43.0,7383.214446544662
1657.6576576576576,43.0,7464.348671231965
1675.6756756756756,43.0,7545.482895919269
1693.693693693694,43.0,7626.617120606574
1711.7117117117118,43.0,7707.751345293877
1729.7297297297298,43.0,7788.885569981181
1747.7477477477476,43.0,7870.019794668485
1765.7657657657658,43.0,7951.1540193557885
1783.7837837837842,43.0,8032.288244043094
1801.801801801802,43.0,8113.422468730398
1819.81981981982,43.0,8194.5566934177
1837.8378378378382,43.0,8275.690918105005
1855.855855855856,43.0,8356.825142792308
1873.8738738738741,43.0,8437.959367479614
1891.891891891892,43.0,8519.093592166917
1909.90990990991,43.0,8600.227816854222
1927.927927927928,43.0,8681.362041541524
1945.9459459459458,43.0,8762.496266228829
1963.963963963964,43.0,8843.630490916132
1981.981981981982,43.0,8924.764715603438
2000.0000000000002,43.0,9005.898940290741
2018.0180180180182,43.0,9087.033164978046
2036.036036036036,43.0,9168.167389665348
2054.054054054054,43.0,9249.301614352653
2072.0720720720724,43.0,9330.435839039958
2090.09009009009,43.0,9411.57006372726
2108.1081081081084,43.0,9492.704288414565
2126.126126126126,43.0,9573.838513101868
2144.1441441441443,43.0,9654.972737789172
2162.162162162162,43.0,9736.106962476477
2180.1801801801803,43.0,9817.241187163781
2198.1981981981985,43.0,9898.375411851084
2216.2162162162163,43.0,9979.509636538389
2234.2342342342345,43.0,10060.643861225692
2252.252252252252,43.0,10141.778085912996
2270.2702702702704,43.0,10222.9123106003
2288.2882882882886,43.0,10304.046535287605
2306.3063063063064,43.0,10385.180759974908
2324.3243243243246,43.0,10466.314984662213
2342.3423423423424,43.0,10547.449209349516
2360.3603603603606,43.0,10628.58343403682
2378.378378378379,43.0,10709.717658724125
2396.3963963963965,43.0,10790.851883411427
2414.4144144144143,43.0,10871.986108098732
2432.4324324324325,43.0,10953.120332786037
2450.4504504504507,43.0,11034.254557473341
2468.468468468469,43.0,11115.388782160644
2486.4864864864867,43.0,11196.523006847949
2504.5045045045044,43.0,11277.657231535251
2522.5225225225226,43.0,11358.791456222556
2540.540540540541,43.0,11439.925680909859
2558.5585585585586,43.0,11521.059905597163
2576.5765765765764,43.0,11602.194130284466
2594.594594594595,43.0,11683.328354971773
2612.6126126126132,43.0,11764.462579659077
2630.630630630631,43.0,11845.59680434638
2648.648648648649,43.0,11926.731029033685
2666.6666666666665,43.0,12007.865253720987
2684.6846846846847,43.0,12088.999478408292
2702.702702702703,43.0,12170.133703095595
2720.720720720721,43.0,12251.2679277829
2738.738738738739,43.0,12332.402152470204
2756.7567567567567,43.0,12413.536377157507
2774.7747747747744,43.0,12494.670601844811
2792.792792792793,43.0,12575.804826532116
2810.8108108108113,43.0,12656.93905121942
2828.8288288288295,43.0,12738.073275906725
2846.846846846847,43.0,12819.207500594028
2864.864864864865,43.0,12900.341725281332
2882.882882882883,43.0,12981.475949968635
2900.900900900901,43.0,13062.61017465594
2918.918918918919,43.0,13143.744399343243
2936.9369369369374,43.0,13224.878624030547
2954.9549549549547,43.0,13306.01284871785
2972.972972972973,43.0,13387.147073405155
2990.9909909909916,43.0,13468.281298092461
3009.00900900901,43.0,13549.415522779764
3027.0270270270275,43.0,13630.549747467068
3045.0450450450453,43.0,13711.683972154371
3063.063063063063,43.0,13792.818196841676
3081.0810810810813,43.0,13873.952421528978
3099.0990990990995,43.0,13955.086646216283
3117.1171171171172,43.0,14036.220870903586
3135.135135135135,43.0,14117.35509559089
3153.153153153153,43.0,14198.489320278193
3171.171171171171,43.0,14279.623544965498
3189.1891891891896,43.0,14360.757769652804
3207.207207207208,43.0,14441.891994340107
3225.225225225225,43.0,14523.026219027412
3243.2432432432433,43.0,14604.160443714714
3261.2612612612616,43.0,14685.294668402019
3279.2792792792798,43.0,14766.428893089324
3297.2972972972975,43.0,14847.563117776626
3315.3153153153153,43.0,14928.69734246393
3333.333333333333,43.0,15009.831567151234
3351.3513513513512,43.0,15090.965791838538
3369.36936936937,43.0,15172.100016525845
3387.387387387388,43.0,15253.234241213147
3405.4054054054054,43.0,15334.368465900452
3423.4234234234236,43.0,15415.502690587755
3441.441441441442,43.0,15496.63691527506
3459.4594594594596,43.0,15577.771139962362
3477.477477477478,43.0,15658.905364649667
3495.495495495495,43.0,15740.03958933697
3513.5135135135133,43.0,15821.173814024274
3531.5315315315315,43.0,15902.308038711577
3549.5495495495497,43.0,15983.442263398882
3567.5675675675684,43.0,16064.576488086188
3585.5855855855857,43.0,16145.71071277349
3603.603603603604,43.0,16226.844937460795
3621.6216216216217,43.0,16307.979162148098
3639.63963963964,43.0,16389.1133868354
3657.657657657658,43.0,16470.247611522707
3675.6756756756763,43.0,16551.38183621001
3693.6936936936936,43.0,16632.516060897313
3711.711711711712,43.0,16713.650285584616
3729.7297297297296,43.0,16794.784510271922
3747.7477477477482,43.0,16875.91873495923
3765.7657657657664,43.0,16957.05295964653
3783.783783783784,43.0,17038.187184333834
3801.801801801802,43.0,17119.321409021137
3819.81981981982,43.0,17200.455633708443
3837.8378378378384,43.0,17281.589858395746
3855.855855855856,43.0,17362.72408308305
3873.873873873874,43.0,17443.858307770355
3891.8918918918916,43.0,17524.992532457658
3909.90990990991,43.0,17606.12675714496
3927.927927927928,43.0,17687.260981832263
3945.9459459459467,43.0,17768.39520651957
3963.963963963964,43.0,17849.529431206876
3981.9819819819822,43.0,17930.66365589418
4000.0000000000005,43.0,18011.797880581482
4018.018018018018,43.0,18092.932105268785
4036.0360360360364,43.0,18174.06632995609
4054.0540540540546,43.0,18255.200554643394
4072.072072072072,43.0,18336.334779330697
4090.09009009009,43.0,18417.469004018
4108.108108108108,43.0,18498.603228705306
4126.126126126126,43.0,18579.73745339261
4144.144144144145,43.0,18660.871678079915
4162.1621621621625,43.0,18742.005902767218
4180.18018018018,43.0,18823.14012745452
4198.198198198199,43.0,18904.274352141827
4216.216216216217,43.0,18985.40857682913
4234.2342342342345,43.0,19066.542801516433
4252.252252252252,43.0,19147.677026203735
4270.27027027027,43.0,19228.81125089104
4288.288288288289,43.0,19309.945475578344
4306.306306306306,43.0,19391.079700265647
4324.324324324324,43.0,19472.213924952954
4342.342342342343,43.0,19553.348149640256
4360.360360360361,43.0,19634.482374327563
4378.378378378378,43.0,19715.616599014866
4396.396396396397,43.0,19796.75082370217
4414.414414414415,43.0,19877.885048389475
4432.4324324324325,43.0,19959.019273076778
4450.45045045045,43.0,20040.15349776408
4468.468468468469,43.0,20121.287722451383
4486.486486486487,43.0,20202.42194713869
4504.504504504504,43.0,20283.556171825992
4522.522522522523,43.0,20364.6903965133
4540.540540540541,43.0,20445.8246212006
4558.558558558559,43.0,20526.958845887904
4576.576576576577,43.0,20608.09307057521
4594.594594594595,43.0,20689.227295262514
4612.612612612613,43.0,20770.361519949816
4630.630630630631,43.0,20851.49574463712
4648.648648648649,43.0,20932.629969324425
4666.666666666667,43.0,21013.76419401173
4684.684684684685,43.0,21094.89841869903
4702.702702702703,43.0,21176.032643386334
4720.720720720721,43.0,21257.16686807364
4738.738738738739,43.0,21338.301092760947
4756.756756756758,43.0,21419.43531744825
4774.774774774775,43.0,21500.569542135552
4792.792792792793,43.0,21581.703766822855
