rpm,T/Nm,P/W
0.0,80.0,0.0
18.01801801801802,80.0,150.94739476707716
36.03603603603604,80.0,301.8947895341543
54.054054054054056,80.0,452.84218430123144
72.07207207207207,80.0,603.7895790683086
90.0900900900901,80.0,754.7369738353858
108.10810810810811,80.0,905.6843686024629
126.12612612612614,80.0,1056.63176336954
144.14414414414415,80.0,1207.5791581366173
162.1621621621622,80.0,1358.5265529036947
180.1801801801802,80.0,1509.4739476707716
198.19819819819818,80.0,1660.4213424378486
216.21621621621622,80.0,1811.3687372049258
234.23423423423426,80.0,1962.3161319720032
252.25225225225228,80.0,2113.26352673908
270.27027027027026,80.0,2264.2109215061573
288.2882882882883,80.0,2415.1583162732345
306.30630630630634,80.0,2566.1057110403117
324.3243243243244,80.0,2717.0531058073893
342.34234234234236,80.0,2868.000500574466
360.3603603603604,80.0,3018.9478953415432
378.37837837837844,80.0,3169.8952901086204
396.39639639639637,80.0,3320.842684875697
414.4144144144144,80.0,3471.7900796427743
432.43243243243245,80.0,3622.7374744098515
450.4504504504505,80.0,3773.684869176929
468.46846846846853,80.0,3924.6322639440064
486.48648648648646,80.0,4075.579658711083
504.50450450450455,80.0,4226.52705347816
522.5225225225225,80.0,4377.474448245238
540.5405405405405,80.0,4528.421843012315
558.5585585585586,80.0,4679.369237779391
576.5765765765766,80.0,4830.316632546469
594.5945945945947,80.0,4981.264027313547
612.6126126126127,80.0,5132.211422080623
630.6306306306307,80.0,5283.1588168477
648.6486486486488,80.0,5434.106211614779
666.6666666666666,80.0,5585.0536063818545
684.6846846846847,80.0,5736.001001148932
702.7027027027028,80.0,5886.94839591601
720.7207207207208,80.0,6037.8957906830865
738.7387387387387,80.0,6188.843185450163
756.7567567567569,80.0,6339.790580217241
774.7747747747749,80.0,6490.737974984318
792.7927927927927,80.0,6641.685369751394
810.8108108108108,80.0,6792.632764518472
828.8288288288288,80.0,6943.580159285549
846.846846846847,80.0,7094.527554052627
864.8648648648649,80.0,7245.474948819703
882.8828828828829,80.0,7396.422343586781
900.900900900901,80.0,7547.369738353858
918.9189189189191,80.0,7698.317133120935
936.9369369369371,80.0,7849.264527888013
954.954954954955,80.0,8000.211922655089
972.9729729729729,80.0,8151.159317422166
990.990990990991,80.0,8302.106712189245
1009.0090090090091,80.0,8453.05410695632
1027.027027027027,80.0,8604.001501723398
1045.045045045045,80.0,8754.948896490476
1063.063063063063,80.0,8905.896291257552
1081.081081081081,80.0,9056.84368602463
1099.0990990990992,80.0,9207.791080791707
1117.1171171171172,80.0,9358.738475558783
1135.1351351351352,80.0,9509.685870325862
1153.1531531531532,80.0,9660.633265092938
1171.1711711711712,80.0,9811.580659860014
1189.1891891891894,80.0,9962.528054627093
1207.2072072072071,80.0,10113.47544939417
1225.2252252252254,80.0,10264.422844161247
1243.2432432432433,80.0,10415.370238928324
1261.2612612612613,80.0,10566.3176336954
1279.2792792792793,80.0,10717.265028462478
1297.2972972972975,80.0,10868.212423229557
1315.3153153153155,80.0,11019.159817996633
1333.3333333333333,80.0,11170.107212763709
1351.3513513513515,80.0,11321.054607530787
1369.3693693693695,80.0,11472.002002297864
1387.3873873873872,80.0,11622.94939706494
1405.4054054054056,80.0,11773.89679183202
1423.4234234234234,80.0,11924.844186599095
1441.4414414414416,80.0,12075.791581366173
1459.4594594594596,80.0,12226.738976133249
1477.4774774774774,80.0,12377.686370900326
1495.4954954954958,80.0,12528.633765667404
1513.5135135135138,80.0,12679.581160434482
1531.5315315315315,80.0,12830.52855520156
1549.5495495495497,80.0,12981.475949968635
1567.5675675675675,80.0,13132.423344735711
1585.5855855855855,80.0,13283.370739502789
1603.603603603604,80.0,13434.318134269868
1621.6216216216217,80.0,13585.265529036944
1639.6396396396399,80.0,13736.212923804022
1657.6576576576576,80.0,13887.160318571097
1675.6756756756756,80.0,14038.107713338175
1693.693693693694,80.0,14189.055108105254
1711.7117117117118,80.0,14340.00250287233
1729.7297297297298,80.0,14490.949897639406
1747.7477477477476,80.0,14641.897292406484
1765.7657657657658,80.0,14792.844687173561
1783.7837837837842,80.0,14943.792081940639
1801.801801801802,80.0,15094.739476707717
1819.81981981982,80.0,15245.686871474792
1837.8378378378382,80.0,15396.63426624187
1855.855855855856,80.0,15547.581661008946
1873.8738738738741,80.0,15698.529055776025
1891.891891891892,80.0,15849.476450543101
1909.90990990991,80.0,16000.423845310179
1927.927927927928,80.0,16151.371240077257
1945.9459459459458,80.0,16302.318634844332
1963.963963963964,80.0,16453.266029611408
1981.981981981982,80.0,16604.21342437849
2000.0000000000002,80.0,16755.160819145563
2018.0180180180182,80.0,16906.10821391264
2036.036036036036,80.0,17057.05560867972
2054.054054054054,80.0,17208.003003446796
2072.0720720720724,80.0,17358.950398213874
2090.09009009009,80.0,17509.89779298095
2108.1081081081084,80.0,17660.845187748026
2126.126126126126,80.0,17811.792582515103
2144.1441441441443,80.0,17962.73997728218
2162.162162162162,80.0,18113.68737204926
2180.1801801801803,80.0,18264.634766816336
2198.1981981981985,80.0,18415.582161583414
2216.2162162162163,80.0,18566.52955635049
2234.2342342342345,80.0,18717.476951117565
2252.252252252252,80.0,18868.424345884643
2270.2702702702704,80.0,19019.371740651724
2288.2882882882886,80.0,19170.3191354188
2306.3063063063064,80.0,19321.266530185876
2324.3243243243246,80.0,19472.213924952954
2342.3423423423424,80.0,19623.161319720028
2360.3603603603606,80.0,19774.10871448711
2378.378378378379,80.0,19925.056109254187
2396.3963963963965,80.0,20076.00350402126
2414.4144144144143,80.0,20226.95089878834
2432.4324324324325,80.0,20377.898293555416
2450.4504504504507,80.0,20528.845688322494
2468.468468468469,80.0,20679.79308308957
